"[49.3179514, -124.3117397]","Parksville, BC",2019-12-04 17:02:37,Andrew Smith,b'RT @Emilyfo04914299: This is a mild description! Trudeau back stabbed Trump during the NAFTA deal once he left Ottawa and now he behaves li\xe2\x80\xa6'
"[53.5762678, -113.1255397]","Strathcona County, Alberta",2019-12-04 17:02:37,Father_Jim_1.6,b'Send in the pacifiers... I mean trade negotiators. #trump #Trudeau\n\nhttps://t.co/9dV9Vtiqvg'
"[32.7762719, -96.7968559]","Dallas, TX",2019-12-04 17:02:37,Tamara 😎,"b'RT @Marlene45MAGA: ""Last December America became a net exporter of oil for the first time in\xc2\xa075 years,\xc2\xa0and now for the first time, we\xe2\x80\x99re th\xe2\x80\xa6'"
"[42.5834228, -71.8022956]","Fitchburg, MA",2019-12-04 17:02:37,Sentinel&Enterprise,"b""The House Judiciary Committee's first impeachment hearing quickly burst into partisan infighting Wednesday as Democ\xe2\x80\xa6 https://t.co/RXk4ekQHV6"""
"[32.7174209, -117.1627714]","San Diego, CA",2019-12-04 17:02:36,Richard Chanon,"b'RT @ABC: Stanford Law School\'s Pamela Karlan: ""The Constitution of the United States does not care whether the next President of the United\xe2\x80\xa6'"
"[37.7792808, -122.4192363]",San Francisco,2019-12-04 17:02:36,#SheIsMyPresident 🍩,"b'RT @kylegriffin1: EISEN: ""What\'s the danger if Congress does not respond to [Trump\'s] attempt?""\nKARLAN: ""Well, we\'ve already seen a little\xe2\x80\xa6'"
"[43.4849133, -71.6553992]","New Hampshire, USA",2019-12-04 17:02:36,Robyn Anthony,"b'RT @threadreaderapp: @DHTRKBA Hi, there is your unroll: Thread by @CarpeDonktum: An Idiots Guide to Response on Political Twitter A thread.\xe2\x80\xa6'"
"[44.6878216, -63.2692852]",CA Desert,2019-12-04 17:02:36,Faby,"b'RT @TheDailyEdge: Prof. Pamela S. Karlan makes clear that absolving Trump for his impeachable acts signals the @GOP has no interest in ""a f\xe2\x80\xa6'"
"[42.3130746, -89.0614954]","Loves Park, IL",2019-12-04 17:02:36,Terrell D. Lewis,"b'RT @funder: One thing is clear from this hearing: Trump should absolutely, without a doubt, be impeached and removed immediately. Trump has\xe2\x80\xa6'"
"[40.7127281, -74.0060152]","New York, USA",2019-12-04 17:02:36,Lila Fowler 🎀,b'RT @TheDweck: nothing is good so let\xe2\x80\x99s all take a moment to appreciate that even this man was laughing at Trump https://t.co/jDHO5mZoNC'
"[30.2396865, -81.3856384]","Ponte Vedra Beach, FL",2019-12-04 17:02:36,Floridians for Trump,"b'RT @RepLeeZeldin: Congrats to the professors who won the Dems\xe2\x80\x99 nationwide talent search for the most elitist, unhinged anti-Trump professor\xe2\x80\xa6'"
"[40.9637919, -72.1851729]","East Hampton, NY",2019-12-04 17:02:36,Gene stevens,"b'RT @RepLeeZeldin: Congrats to the professors who won the Dems\xe2\x80\x99 nationwide talent search for the most elitist, unhinged anti-Trump professor\xe2\x80\xa6'"
"[-113.71368, 53.395531]","Edmonton, Alberta, Canada",2019-12-04 17:02:36,Ronni  Gordon,b'@ShayeGanam Trump and Trudeau same as Bert and Ernie?? But the puppets are smarter and better looking \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
"[1.3104654, 103.9235132]",East Coast,2019-12-04 17:02:36,Amy,b'RT @DanRather: With President Trump in Europe the world may be laughing but it\xe2\x80\x99s not amused.'
"[43.9792797, -120.737257]",Oregon,2019-12-04 17:02:36,Frank Biggs - Cobra,b'1st Amendment is now threaten by The Democratic Socialist Party Members! https://t.co/UEjN5P2fs1'
"[43.9792797, -120.737257]",Oregon,2019-12-04 17:02:36,HORSEFEATHERS ⭐️⭐️⭐️,"b""RT @GOPLeader: Democrats still don't get it\xe2\x80\x94they are pushing ahead with impeachment based on opinions from liberal law professors from coas\xe2\x80\xa6"""
"[39.7837304, -100.4458825]",USA,2019-12-04 17:02:36,Johnny’s Angel 😇 (Marsha),b'RT @marklevinshow: Framers were greatly concerned House would go rogue with impeachment \nhttps://t.co/x1D6jmiXdm'
"[40.7127281, -74.0060152]","New York, NY USA",2019-12-04 17:02:36,Scott Strumello,"b'RT @axios: WATCH: The three legal scholars that Democrats called to testify were ""unanimous"" in their assessments that Trump committed impe\xe2\x80\xa6'"
"[30.2711286, -97.7436995]","Austin, TX",2019-12-04 17:02:36,Ralph Baldwin,"b'RT @HeidiNBC: First witness, Harvard const. law scholar Noah Feldman offers his conclusion off the top:\n\n\xe2\x80\x9cPresident Trump has committed imp\xe2\x80\xa6'"
"[30.1734194, -95.504686]","The Woodlands, TX",2019-12-04 17:02:36,Jesse McLen,"b'@mayawiley As a legal idiot, I think the gist of the testimony is pretty clear. For all but the most loyal of Trump\xe2\x80\xa6 https://t.co/pNBEadtRvq'"
"[52.7954791, -0.540240286617432]","England, United Kingdom",2019-12-04 17:02:36,Colin #UniteToRemain #VoteTactically,b'RT @JoyAnnReid: Prof Gerhardt: if this (what Trump did in demanding dirt and self-serving investigations from a foreign power to help secur\xe2\x80\xa6'
"[41.7962409, -71.5992372]",Rhode Island,2019-12-04 17:02:36,Jisep,"b'RT @Education4Libs: I just read the Dems\xe2\x80\x99 impeachment report.\n\nIt said, \xe2\x80\x9cWe\xe2\x80\x99re still mad at Trump for winning the 2016 election &amp; we know w\xe2\x80\xa6'"
"[39.7837304, -100.4458825]",United States,2019-12-04 17:02:36,Easy Does It,"b'RT @kylegriffin1: EISEN: ""What\'s the danger if Congress does not respond to [Trump\'s] attempt?""\nKARLAN: ""Well, we\'ve already seen a little\xe2\x80\xa6'"
"[39.7837304, -100.4458825]",United States,2019-12-04 17:02:36,Sylvia Garcia 🇺🇸 🇵🇷,b'@SpeakerPelosi\n@TeamPelosi\nWhile Dems continue their hateful and stupid attacks against @POTUS\nwe are opening our e\xe2\x80\xa6 https://t.co/MTTAEyFERq'
"[32.9715645, -89.7348497]",MS,2019-12-04 17:02:36,Lew T ~ΜOΛΩΝ ΛΑΒΕ~ ⭐️⭐️⭐️,"b""RT @RepMarkMeadows: In case you were inclined to believe the Democrats' suggestion that their witnesses are unbiased, here's one of them\xe2\x80\x94No\xe2\x80\xa6"""
"[39.1670396, -86.5342881]","Bloomington,IN",2019-12-04 17:02:36,Nathan M.,"b'RT @B52Malmet: If the clear and present danger that a free and fair election is unlikely in November, then Trump has successfully gone out\xe2\x80\xa6'"
"[33.5598586, -81.721952]","Aiken, SC",2019-12-04 17:02:36,Stephen Justice,"b'RT @prayingmedic: 29) ""The Justice Department\xe2\x80\x99s inspector general is expected to sharply criticize lower-level F.B.I. officials as well as\xe2\x80\xa6'"
"[33.1506744, -96.8236116]","Frisco, TX",2019-12-04 17:02:36,Back2Blue,"b'RT @MysterySolvent: Trump tweeted,\n\xe2\x80\x9c....When today\xe2\x80\x99s meetings are over, I will be heading back to Washington. We won\xe2\x80\x99t be doing a press con\xe2\x80\xa6'"
"[38.8948932, -77.0365529]","Washington, DC",2019-12-04 17:02:36,Eric Phillips,"b'RT @keithboykin: Republican witness Jonathan Turley asks ""where will you stand"" when the wind blows again for a Democratic president to be\xe2\x80\xa6'"
"[11.164548, -60.7846386]",world citizen,2019-12-04 17:02:36,lonewolf,"b'RT @CAPAction: .@NormEisen: ""Did [Trump] commit the impeachable high crime and misdemeanor of abuse of power?""\n\nFELDMAN: ""Based on that evi\xe2\x80\xa6'"
"[36.7014631, -118.7559974]","California, USA",2019-12-04 17:02:36,Jenny,b'RT @ericgarland: The only reason for the GOP to be so desperate in obstructing this investigation into Trump seems to be that their crimes\xe2\x80\xa6'
"[38.8948932, -77.0365529]","Washington, USA",2019-12-04 17:02:36,David,b'RT @JoyAnnReid: Prof Gerhardt: if this (what Trump did in demanding dirt and self-serving investigations from a foreign power to help secur\xe2\x80\xa6'
"[25.7742658, -80.1936589]","Miami, FL",2019-12-04 17:02:36,Catalina Sinsenos,"b'@stouffshoe2 @dreweturner @MSNBC Metal illness, huh? Is your degree from Trump University?'"
"[56.7861112, -4.1140518]","Scotland, United Kingdom",2019-12-04 17:02:36,Defiant Ms.E,"b""RT @SethAbramson: What Turley just did is gaslight America, telling those of us seeking to uphold rule of law that we're just acting hyster\xe2\x80\xa6"""
"[34.0536909, -118.2427666]","Los Angeles, CA",2019-12-04 17:02:36,LA-X,"b'RT @ewarren: Donald Trump is pushing out talented diplomats, hollowing out the State Department, and appointing his own donor buddies to be\xe2\x80\xa6'"
"[33.6795519, -116.176338]",L.A. & Coachella Valley,2019-12-04 17:02:36,#NeverTrump 🍑 ʎzzI - Here right matters!,"b'RT @kylegriffin1: Prof. Noah Feldman: ""President Trump\'s conduct described in the testimony and evidence clearly constitutes an impeachable\xe2\x80\xa6'"
"[31.8160381, -99.5120986]","Texas, USA",2019-12-04 17:02:36,Clif Garrett🇺🇸🇮🇱,b'RT @ouchinagirl: Major anti-@realDonaldTrump stunt FAILS in critical swing states\n\nObama &amp;SOROS don\xe2\x80\x99t have much to give thanks for this hol\xe2\x80\xa6'
"[41.8755616, -87.6244212]","Chicago, IL",2019-12-04 17:02:35,Brian McCamey,b'RT @WayChic: Oh HELL no! https://t.co/f73eVDwCym'
"[22.34921555, 114.185797810004]",HongKong,2019-12-04 17:02:35,قدرت چینی,b'@washingtonpost Putin just loves the way of Trump is'
"[43.6211955, -84.6824346]",Michigan,2019-12-04 17:02:35,Jacqueline,"b""RT @briantylercohen: Guess who now has a clear schedule to be Trump's worst nightmare on the Senate Judiciary Committee."""
"[43.6211955, -84.6824346]","Michigan, USA",2019-12-04 17:02:35,Sue Annear,b'RT @Lrihendry: Gossiping &amp; backstabbing world leaders angry because the president calling them out for not paying their fair share! \n\nPresi\xe2\x80\xa6'
"[61.0666922, -107.9917071]",Canada,2019-12-04 17:02:35,Canada Connie Resists,"b'RT @NewsHour: WATCH: Stanford Law professor Pamela Karlan says she is ""insulted"" over Rep. Doug Collins\' suggestion that she wouldn\'t care\xe2\x80\xa6'"
"[40.3468736, -79.7767449]",Ca/Wisc,2019-12-04 17:02:35,Deplorable KG,b'RT @RepMarkMeadows: Democrats are holding a national T.V. hearing to ask three liberal law professors why President Trump should be impeach\xe2\x80\xa6'
"[51.4392419, -0.0530903]","Forest Hill, London",2019-12-04 17:02:35,Chris Bailey 🏳️‍🌈🔸🕷🇪🇺 #FBPE,"b'RT @MikeAmesburyMP: Drug prices, UK vs USA\n\n\xf0\x9f\x92\x89 Insulin\n\xf0\x9f\x87\xac\xf0\x9f\x87\xa7 \xc2\xa316.61 \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 \xc2\xa3215.30\n\xf0\x9f\x94\xba 1300%\n\n\xf0\x9f\xa5\x9c Epipen 300mg\n\xf0\x9f\x87\xac\xf0\x9f\x87\xa7 \xc2\xa352.90 \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 \xc2\xa3523\n\xf0\x9f\x94\xba 1000%\n\n\xf0\x9f\x92\x93 Statin 10mg\xe2\x80\xa6'"
